Timestamp: 2026-05-02T12:17:25+02:00
Run type: realtime
Name: Realtime Moving Target

Realtime scenario summary
-------------------------
Name: Realtime Moving Target
Duration: 12.00 s
Refresh interval: 0.25 s
Noise power (dB): -75.00
Clutter amplitude (dB): -45.00
Targets: 3
  1. Target 1: distance=1000.00 m, closing_speed=10.00 m/s, amplitude=-18.00 dB
  2. 2000: distance=2000.00 m, closing_speed=20.00 m/s, amplitude=-16.00 dB
  3. Target 3: distance=1300.00 m, closing_speed=-7.00 m/s, amplitude=-15.00 dB

Live updates
------------
t=  0.00s | detections=  5 | truth: Target 1: R=1000.00m V=10.00m/s | 2000: R=2000.00m V=20.00m/s | Target 3: R=1300.00m V=-7.00m/s | primary: R=1305.00m V=-7.81m/s Power=16.00dB
t=  0.25s | detections=  6 | truth: Target 1: R=997.50m V=10.00m/s | 2000: R=1995.00m V=20.00m/s | Target 3: R=1301.75m V=-7.00m/s | primary: R=1995.00m V=19.53m/s Power=17.58dB
t=  0.50s | detections=  5 | truth: Target 1: R=995.00m V=10.00m/s | 2000: R=1990.00m V=20.00m/s | Target 3: R=1303.50m V=-7.00m/s | primary: R=1305.00m V=-7.81m/s Power=17.53dB
t=  0.75s | detections=  5 | truth: Target 1: R=992.50m V=10.00m/s | 2000: R=1985.00m V=20.00m/s | Target 3: R=1305.25m V=-7.00m/s | primary: R=1305.00m V=-7.81m/s Power=17.61dB
t=  1.00s | detections=  5 | truth: Target 1: R=990.00m V=10.00m/s | 2000: R=1980.00m V=20.00m/s | Target 3: R=1307.00m V=-7.00m/s | primary: R=1980.00m V=19.53m/s Power=17.63dB
t=  1.25s | detections=  5 | truth: Target 1: R=987.50m V=10.00m/s | 2000: R=1975.00m V=20.00m/s | Target 3: R=1308.75m V=-7.00m/s | primary: R=1305.00m V=-7.81m/s Power=16.72dB
t=  1.50s | detections=  5 | truth: Target 1: R=985.00m V=10.00m/s | 2000: R=1970.00m V=20.00m/s | Target 3: R=1310.50m V=-7.00m/s | primary: R=1965.00m V=19.53m/s Power=16.05dB
t=  1.75s | detections=  5 | truth: Target 1: R=982.50m V=10.00m/s | 2000: R=1965.00m V=20.00m/s | Target 3: R=1312.25m V=-7.00m/s | primary: R=1965.00m V=19.53m/s Power=17.63dB
t=  2.00s | detections=  5 | truth: Target 1: R=980.00m V=10.00m/s | 2000: R=1960.00m V=20.00m/s | Target 3: R=1314.00m V=-7.00m/s | primary: R=1965.00m V=19.53m/s Power=16.09dB
t=  2.25s | detections=  5 | truth: Target 1: R=977.50m V=10.00m/s | 2000: R=1955.00m V=20.00m/s | Target 3: R=1315.75m V=-7.00m/s | primary: R=1320.00m V=-7.81m/s Power=16.47dB
t=  2.50s | detections=  6 | truth: Target 1: R=975.00m V=10.00m/s | 2000: R=1950.00m V=20.00m/s | Target 3: R=1317.50m V=-7.00m/s | primary: R=1950.00m V=19.53m/s Power=17.76dB
t=  2.75s | detections=  5 | truth: Target 1: R=972.50m V=10.00m/s | 2000: R=1945.00m V=20.00m/s | Target 3: R=1319.25m V=-7.00m/s | primary: R=1320.00m V=-7.81m/s Power=17.68dB
t=  3.00s | detections=  5 | truth: Target 1: R=970.00m V=10.00m/s | 2000: R=1940.00m V=20.00m/s | Target 3: R=1321.00m V=-7.00m/s | primary: R=1320.00m V=-7.81m/s Power=17.72dB
t=  3.25s | detections=  5 | truth: Target 1: R=967.50m V=10.00m/s | 2000: R=1935.00m V=20.00m/s | Target 3: R=1322.75m V=-7.00m/s | primary: R=1935.00m V=19.53m/s Power=17.82dB
t=  3.50s | detections=  5 | truth: Target 1: R=965.00m V=10.00m/s | 2000: R=1930.00m V=20.00m/s | Target 3: R=1324.50m V=-7.00m/s | primary: R=1320.00m V=-7.81m/s Power=16.40dB
t=  3.75s | detections=  6 | truth: Target 1: R=962.50m V=10.00m/s | 2000: R=1925.00m V=20.00m/s | Target 3: R=1326.25m V=-7.00m/s | primary: R=1920.00m V=19.53m/s Power=16.18dB
t=  4.00s | detections=  5 | truth: Target 1: R=960.00m V=10.00m/s | 2000: R=1920.00m V=20.00m/s | Target 3: R=1328.00m V=-7.00m/s | primary: R=1920.00m V=19.53m/s Power=17.84dB
t=  4.25s | detections=  7 | truth: Target 1: R=957.50m V=10.00m/s | 2000: R=1915.00m V=20.00m/s | Target 3: R=1329.75m V=-7.00m/s | primary: R=1920.00m V=19.53m/s Power=16.24dB
t=  4.50s | detections=  5 | truth: Target 1: R=955.00m V=10.00m/s | 2000: R=1910.00m V=20.00m/s | Target 3: R=1331.50m V=-7.00m/s | primary: R=1335.00m V=-7.81m/s Power=16.98dB
t=  4.75s | detections=  5 | truth: Target 1: R=952.50m V=10.00m/s | 2000: R=1905.00m V=20.00m/s | Target 3: R=1333.25m V=-7.00m/s | primary: R=1905.00m V=19.53m/s Power=17.89dB
t=  5.00s | detections=  5 | truth: Target 1: R=950.00m V=10.00m/s | 2000: R=1900.00m V=20.00m/s | Target 3: R=1335.00m V=-7.00m/s | primary: R=1335.00m V=-7.81m/s Power=17.80dB
t=  5.25s | detections=  6 | truth: Target 1: R=947.50m V=10.00m/s | 2000: R=1895.00m V=20.00m/s | Target 3: R=1336.75m V=-7.00m/s | primary: R=1335.00m V=-7.81m/s Power=17.65dB
t=  5.50s | detections=  5 | truth: Target 1: R=945.00m V=10.00m/s | 2000: R=1890.00m V=20.00m/s | Target 3: R=1338.50m V=-7.00m/s | primary: R=1890.00m V=19.53m/s Power=17.99dB
t=  5.75s | detections=  5 | truth: Target 1: R=942.50m V=10.00m/s | 2000: R=1885.00m V=20.00m/s | Target 3: R=1340.25m V=-7.00m/s | primary: R=1890.00m V=19.53m/s Power=16.32dB
t=  6.00s | detections=  7 | truth: Target 1: R=940.00m V=10.00m/s | 2000: R=1880.00m V=20.00m/s | Target 3: R=1342.00m V=-7.00m/s | primary: R=1875.00m V=19.53m/s Power=16.29dB
t=  6.25s | detections=  5 | truth: Target 1: R=937.50m V=10.00m/s | 2000: R=1875.00m V=20.00m/s | Target 3: R=1343.75m V=-7.00m/s | primary: R=1875.00m V=19.53m/s Power=18.04dB
t=  6.50s | detections=  6 | truth: Target 1: R=935.00m V=10.00m/s | 2000: R=1870.00m V=20.00m/s | Target 3: R=1345.50m V=-7.00m/s | primary: R=1350.00m V=-7.81m/s Power=16.57dB
t=  6.75s | detections=  6 | truth: Target 1: R=932.50m V=10.00m/s | 2000: R=1865.00m V=20.00m/s | Target 3: R=1347.25m V=-7.00m/s | primary: R=1350.00m V=-7.81m/s Power=17.42dB
t=  7.00s | detections=  6 | truth: Target 1: R=930.00m V=10.00m/s | 2000: R=1860.00m V=20.00m/s | Target 3: R=1349.00m V=-7.00m/s | primary: R=1860.00m V=19.53m/s Power=17.89dB
t=  7.25s | detections=  5 | truth: Target 1: R=927.50m V=10.00m/s | 2000: R=1855.00m V=20.00m/s | Target 3: R=1350.75m V=-7.00m/s | primary: R=1350.00m V=-7.81m/s Power=17.84dB
t=  7.50s | detections=  5 | truth: Target 1: R=925.00m V=10.00m/s | 2000: R=1850.00m V=20.00m/s | Target 3: R=1352.50m V=-7.00m/s | primary: R=1350.00m V=-7.81m/s Power=17.44dB
t=  7.75s | detections=  6 | truth: Target 1: R=922.50m V=10.00m/s | 2000: R=1845.00m V=20.00m/s | Target 3: R=1354.25m V=-7.00m/s | primary: R=1845.00m V=19.53m/s Power=17.99dB
t=  8.00s | detections=  6 | truth: Target 1: R=920.00m V=10.00m/s | 2000: R=1840.00m V=20.00m/s | Target 3: R=1356.00m V=-7.00m/s | primary: R=1845.00m V=19.53m/s Power=16.46dB
t=  8.25s | detections=  5 | truth: Target 1: R=917.50m V=10.00m/s | 2000: R=1835.00m V=20.00m/s | Target 3: R=1357.75m V=-7.00m/s | primary: R=1830.00m V=19.53m/s Power=16.52dB
t=  8.50s | detections=  5 | truth: Target 1: R=915.00m V=10.00m/s | 2000: R=1830.00m V=20.00m/s | Target 3: R=1359.50m V=-7.00m/s | primary: R=1830.00m V=19.53m/s Power=18.06dB
t=  8.75s | detections=  5 | truth: Target 1: R=912.50m V=10.00m/s | 2000: R=1825.00m V=20.00m/s | Target 3: R=1361.25m V=-7.00m/s | primary: R=1365.00m V=-7.81m/s Power=17.00dB
