path,label,source,group,category
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_004041.wav,1,DADS,dads_004041,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_001629.wav,1,DADS,dads_001629,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_003951.wav,1,DADS,dads_003951,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_004129.wav,1,DADS,dads_004129,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_002771.wav,1,DADS,dads_002771,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_000185.wav,1,DADS,dads_000185,
/content/hdds_audio/work/wav_data/esc50_background/esc50_bg_001577.wav,0,ESC50,esc50_fold_5,cow
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_001802.wav,1,DADS,dads_001802,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_000344.wav,1,DADS,dads_000344,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_002053.wav,1,DADS,dads_002053,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_004858.wav,1,DADS,dads_004858,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_000921.wav,1,DADS,dads_000921,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_002110.wav,1,DADS,dads_002110,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_001424.wav,1,DADS,dads_001424,
/content/hdds_audio/work/wav_data/esc50_background/esc50_bg_000467.wav,0,ESC50,esc50_fold_3,engine
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_003528.wav,1,DADS,dads_003528,
/content/hdds_audio/work/wav_data/esc50_background/esc50_bg_000145.wav,0,ESC50,esc50_fold_2,water_drops
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_003969.wav,1,DADS,dads_003969,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_002764.wav,1,DADS,dads_002764,
/content/hdds_audio/work/wav_data/esc50_background/esc50_bg_001186.wav,0,ESC50,esc50_fold_3,sneezing
/content/hdds_audio/work/wav_data/esc50_background/esc50_bg_000844.wav,0,ESC50,esc50_fold_3,train
/content/hdds_audio/work/wav_data/esc50_background/esc50_bg_000430.wav,0,ESC50,esc50_fold_2,keyboard_typing
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_001916.wav,1,DADS,dads_001916,
/content/hdds_audio/work/wav_data/esc50_background/esc50_bg_000086.wav,0,ESC50,esc50_fold_5,vacuum_cleaner
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_003192.wav,1,DADS,dads_003192,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_005581.wav,1,DADS,dads_005581,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_005760.wav,1,DADS,dads_005760,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_005945.wav,1,DADS,dads_005945,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_005651.wav,1,DADS,dads_005651,
/content/hdds_audio/work/wav_data/esc50_background/esc50_bg_000267.wav,0,ESC50,esc50_fold_1,hen
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_000315.wav,1,DADS,dads_000315,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_002531.wav,1,DADS,dads_002531,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_000324.wav,1,DADS,dads_000324,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_001073.wav,1,DADS,dads_001073,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_002540.wav,1,DADS,dads_002540,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_001426.wav,1,DADS,dads_001426,
/content/hdds_audio/work/wav_data/dads_drone/dads_drone_003751.wav,1,DADS,dads_003751,
